Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
25,Exit long,2026-02-19 13:55,ATR_LONG,25581.9,39,998337.6,-643.5,-0.06,1476.15,0.15,-1320.15,-0.13,12877.35,1.29
25,Entry long,2026-02-19 13:00,Long,25598.4,39,998337.6,-643.5,-0.06,1476.15,0.15,-1320.15,-0.13,12877.35,1.29
26,Exit long,2026-02-20 13:00,ATR_LONG,25594.25,39,993308.55,4867.2,0.49,7569.9,0.76,-744.9,-0.07,17744.55,1.77
26,Entry long,2026-02-20 09:40,Long,25469.45,39,993308.55,4867.2,0.49,7569.9,0.76,-744.9,-0.07,17744.55,1.77
27,Exit short,2026-02-23 14:30,ATR_SHORT,25673.65,39,1000238.85,-1033.5,-0.10,1474.2,0.15,-1045.2,-0.10,16711.05,1.67
27,Entry short,2026-02-23 13:40,Short,25647.15,39,1000238.85,-1033.5,-0.10,1474.2,0.15,-1045.2,-0.10,16711.05,1.67
28,Exit short,2026-02-25 14:20,ATR_SHORT,25494.2,39,999142.95,4869.15,0.49,7443.15,0.74,-458.25,-0.05,21580.2,2.16
28,Entry short,2026-02-25 10:45,Short,25619.05,39,999142.95,4869.15,0.49,7443.15,0.74,-458.25,-0.05,21580.2,2.16
29,Exit long,2026-02-26 11:45,ATR_LONG,25460.35,40,1021348,-2934,-0.29,1486,0.15,-3026,-0.30,18646.2,1.86
29,Entry long,2026-02-26 11:20,Long,25533.7,40,1021348,-2934,-0.29,1486,0.15,-3026,-0.30,18646.2,1.86
30,Exit long,2026-02-27 11:35,ATR_LONG,25284.4,40,1012974,-1598,-0.16,884,0.09,-1598,-0.16,17048.2,1.70
30,Entry long,2026-02-27 10:30,Long,25324.35,40,1012974,-1598,-0.16,884,0.09,-1598,-0.16,17048.2,1.70
